Dialogue_ID,split_group,Season,Episode,StartTime,EndTime,Speaker,Utterance,Emotion,Strategy,Utterance_ID,Frame_1,Frame_2,Frame_3,Frame_4,Frame_5,Frame_6,Frame_7,Frame_8,Frame_9,Frame_10,Frame_11,Frame_12,Audio
1,3,1,1,"00:03:52,475","00:04:07,067",Client,"Well, what didn't happen? The long version or the bottom line? Because the bottom line is very simple. My life is over.",sadness,Communication Skills,12,,,,,,,,,,,,,
1,5,1,1,"00:04:20,991","00:04:36,877",Client,"I left Andrew. We had a big blowout. Screaming, crying. The works. And at some point i, I called Alona and we went out for a drink. We had a few drinks.",sadness,Communication Skills,19,,,,,,,,,,,,,
2,0,1,1,"00:04:38,908","00:04:42,707",Client,"Listen, I'm not here. I'm. I'm so totally not here.",sadness,Approval,0,,,,,,,,,,,,,
2,2,1,1,"00:04:48,866","00:05:15,765",Client,"No, it's not me that's here. Believe me, you'd be shocked to know the person that's sitting here. I did some. I did some terrible things last night. I feel sick. But I don't wanna throw up.",sadness,Communication Skills,4,,,,,,,,,,,,,
2,3,1,1,"00:05:18,242","00:05:22,666",Client,What do you mean? It's vomit. I'm not gonna vomit all over your rug.,disgust,Communication Skills,11,,,,,,,,,,,,,
2,6,1,1,"00:05:52,120","00:05:57,574",Client,It's Andrew. He knows i'm here at this time. Why is he calling me here?,depression,Interpretation,17,,,,,,,,,,,,,
2,8,1,1,"00:05:58,824","00:06:01,050",Client,"Yeah, right.",depression,Interpretation,21,,,,,,,,,,,,,
3,0,1,1,"00:06:01,092","00:06:03,542",Client,"If he really cared, he wouldn't have started with his shit.",anger,Open question,0,,,,,,,,,,,,,
3,1,1,1,"00:06:10,949","00:06:44,140",Client,"At the club, this guy. Oh my god. He had corduroy pants on, Preppy Sweater. A republican, probably. You know can I just step out for a second and let him know I'm here I mean, I can't concentrate with this shit. Just a sec.",disgust,Communication Skills,2,,,,,,,,,,,,,
3,2,1,1,"00:07:03,873","00:07:44,882",Client,"Andrew gave me an ultimatum, either we get married or we split. He said he wants an answer in a day or two at the most or else he's out. He said he can't take it anymore, that he loves me, that he doesn't believe I love him. Not for real, that it's been two years already on and off. Blah blah blah. I don't know why, all of a sudn he just started ranting and raving. We've talked about this stuff before. But it was all in theory, if we stayed together. If. And suddenly, out of the blue, I I can't even remember what we were doing.",sadness,Communication Skills,11,,,,,,,,,,,,,
4,0,1,1,"00:07:46,118","00:08:15,384",Client,"We were watching Tv. All of a sudden he just, gets off the couch and grabs the remote and turns off the Tv and he turns to me and he has tears in his eyes and he says, that's it. I can't take it anymore. So out of line. Promised he'd lay off the subject for awhile and all of a sudden he's on this crying bullshit. He actually burst out crying. I've never seen him like that before. And to tell you the truth, it really scared me. No, it made me angry.",anger,Open question,0,,,,,,,,,,,,,
4,1,1,1,"00:08:15,699","00:08:52,077",Client,"Because he's trying to manipulate me with these. These cheap chick tricks. Maybe he thought he would break my heart or something, appeal to my. Shit, you know, forget it. I don't know. I threw a tantrum like a three-year-old. Screamed, cried, told him to fuck off. I told him he was a little piece of shit for doing this to me when he knows that I'm working double shifts at the hospital this week. I slammed the door, smashed his laptop on the floor. I killed it.",anger,Open question,13,,,,,,,,,,,,,
5,0,1,1,"00:08:52,632","00:10:18,729",Client,"I ran out and I called Alona. She dressed me in this outfit. It's, it's not mine. We went out for a drink at a club that she likes on chester st. She tried to calm me down, put things into perspective. And she said. She said I was Lucky, that she wished somebody loved her enough to give her an ultimatum. And then we drank. Well, i drank. And, there was this guy at the bar, and at some point Alona said that she was tired and that she needed to go home. And then that guy... Moved next to me and, you know what he said? He said, you look so sad. And I said, really? And he said, yeah, you do. It looks good on you. Looks good on you. I mean, whatever happened to : do you have the time? Or haven't we met before? I must be totally out of touch, Paul. What do you think? Client: I mean, do I look good when I'm sad?",depression,Self-disclosure,0,,,,,,,,,,,,,
6,0,1,1,"00:10:32,780","00:10:57,550",Client,"And then, I don't know how much I had to drink cause he was ordering for me, of course. And then he, paid the Bill and he asked me, would you like to go somewhere else? And I said, yes, I'd like to go to the bathroom. So I stood up and I went to the bathroom. He follows me. And you wouldn't believe it, but these were unisex bathrooms. Am I'm Lucky or what?",depression,Open question,0,,,,,,,,,,,,,
6,1,1,1,"00:11:00,719","00:11:02,934",Client,"Well, I'm, I'm running away from a guy and I'm.",disgust,Restatement,10,,,,,,,,,,,,,
6,2,1,1,"00:11:05,175","00:11:53,502",Client,"Right. I mean, I needed to pee, you know, by myself. I've been doing that since I was three. So I realized i needed to make a decision. By following me to the bathroom this guy was also giving me an ultimatum. I thought, fuck, out of the pan and into the fire. I ran away from one ultimatum and there was this guy with a hard-on giving me another. Suddenly I felt like doing it. I never had sex in a bathroom before. I mean, what? I should go and Marry Andrew without ever knowing what a good bathroom fuck's all about? It's part of a young lady's education, isn't it?",joy,Interpretation,12,,,,,,,,,,,,,
6,5,1,1,"00:12:00,537","00:12:10,019",Client,"That's right. A girl being forced into marriage. What's she supposed to do, die ignorant?",neutral,Interpretation,28,,,,,,,,,,,,,
7,0,1,1,"00:12:12,871","00:12:26,293",Client,So this guy follows me into the stall and suddenly I was horny. Is hearing about this disgusting to you?,joy,Approval,0,,,,,,,,,,,,,
7,3,1,1,"00:12:34,594","00:13:40,670",Client,"He unzipped, pulled down his pants, and he stood there with his huge. God, I felt like I was 16... Touching it for the very first time. I was really surprised at how. Warm it felt. I mean, don't I know that already? And then he... turned me around to face the door... And he pulled down my stockings. He lifted up my skirt, put his hand into his back pocket and pulled out a condom. I realize this guy's very good at this. He does this a lot. He's a real pro. And then this... guy entered the stall next to us and started peeing... In gushes, full volume like a racehorse.",joy,Communication Skills,7,,,,,,,,,,,,,
8,0,1,1,"00:13:46,273","00:14:26,237",Client,"I thought of Andrew, how he pees in the morning, making the same sound. My heart ached. I just... It was so stupid, you know? I just felt so sad all of a sudden. And he's behind me and he's rubbing up against me and he's feeling me up... I thought to myself, it's gonna happen any moment. And I just... I just couldn't do it. I simply closed my legs shut. I couldn't do it. I couldn't do it to Andrew. I just couldn't do it.",sadness,Communication Skills,0,,,,,,,,,,,,,
8,1,1,1,"00:14:34,896","00:15:28,016",Client,"Yeah, that's not the end of it because this idiot...I told him, I'm really sorry but I have a boyfriend. I can't do this. And he laughs in my face and says boohoo. And he grabs my hands and he says, listen, cupcake, you think you can leave me high and dry like this? Pointing at his dick. The least you can do is make it up to me. I said to him, what do you want? You want some money? He said, give me a hand job and there'll be no hard feelings. And I said to him, what's the matter with you? Are you crazy? And it was just getting really strange. I mean, it was tense. His tone changed. And then I thought of you... What you'd say about it. I thought about us going through this in therapy.",depression,Open question,14,,,,,,,,,,,,,
8,2,1,1,"00:15:35,548","00:15:42,965",Client,I imagined you not being able to understand it... That you'd be disgusted.,depression,Restatement,33,,,,,,,,,,,,,
8,5,1,1,"00:15:52,831","00:16:12,239",Client,I didn't run. I gave him the hand job. Excuse me.,depression,Open question,38,,,,,,,,,,,,,
8,6,1,1,"00:16:35,960","00:17:51,586",Client,"Yeah. Yeah, I'm fine. Thank you.",depression,Open question,42,,,,,,,,,,,,,
9,3,1,1,"00:18:09,400","00:18:14,948",Client,I don't wanna be put in this position. I don't wanna have this power to decide our future for both of us. I just don't.,disgust,Open question,3,,,,,,,,,,,,,
9,4,1,1,"00:18:18,624","00:18:20,412",Client,What do you mean?,neutral,Open question,7,,,,,,,,,,,,,
9,10,1,1,"00:18:34,575","00:18:37,364",Client,Nothing. I don't know. He just lost it.,neutral,Open question,14,,,,,,,,,,,,,
10,0,1,1,"00:18:38,006","00:18:50,077",Client,"I mean, shit, don't you know that men are the new women? Obsessed with weddings and children. And lately he's lost touch with reality. He he thinks I'm seeing someone. That's how this whole thing started. It's unbelievable.",anger,Restatement,0,,,,,,,,,,,,,
10,3,1,1,"00:18:53,553","00:19:13,502",Client,"Well, we were watching tv.But before that we were having dinner and he had this look on his face. He had this sad look and I could just tell something was up. I mean, you can just tell, huh? And I said to him, what's going on? And he said, I don't know what I want. I just know I don't want this on-and-off thing. So I said to him, Sure, then let's just decide: either we get married or we split.",neutral,Interpretation,8,,,,,,,,,,,,,
10,4,1,1,"00:19:15,411","00:19:17,007",Client,With what?,neutral,Interpretation,17,,,,,,,,,,,,,
10,5,1,1,"00:19:17,200","00:19:22,680",Client,"No, he's the one. He had the problem with the on-and-off thing. Not me.",neutral,Interpretation,19,,,,,,,,,,,,,
10,8,1,1,"00:19:28,639","00:19:42,705",Client,"No, he had this thing with the on and... The ultim... Yeah, okay, I was the first one to say it, you're right.",neutral,Interpretation,24,,,,,,,,,,,,,
11,0,1,1,"00:19:42,725","00:19:56,369",Client,"But he jumped all over it. I said I didn't know what I want. And he said, you have a day or two max to decide what you want. And I said fine. And then he started crying and blah blah blah. The whole thing was really scary to him, I think.",anger,Open question,0,,,,,,,,,,,,,
11,2,1,1,"00:19:59,627","00:20:00,627",Client,Of what?,depression,Interpretation,7,,,,,,,,,,,,,
11,3,1,1,"00:20:02,745","00:20:05,357",Client,I wasn't suggesting that we split up. That's not the point.,depression,Open question,9,,,,,,,,,,,,,
11,5,1,1,"00:20:09,763","00:20:11,156",Client,I didn't initiate anything.,depression,Interpretation,13,,,,,,,,,,,,,
11,12,1,1,"00:20:35,651","00:20:36,943",Client,I did no such thing.,neutral,Open question,21,,,,,,,,,,,,,
11,13,1,1,"00:20:48,291","00:20:56,494",Client,Because he's right. Andrew's right. I am being unfaithful to him.,neutral,Restatement,23,,,,,,,,,,,,,
11,15,1,1,"00:21:02,962","00:21:10,198",Client,Not just last night. I've been unfaithful to him for a long time.,neutral,Restatement,28,,,,,,,,,,,,,
12,1,1,1,"00:21:18,314","00:21:35,059",Client,I think we have. It's been here all along. You mean to say you've never noticed it? You're surprised.,neutral,Restatement,1,,,,,,,,,,,,,
12,3,1,1,"00:21:51,096","00:21:58,874",Client,This isn't... the reaction I was hoping for. Not at all.,neutral,Open question,7,,,,,,,,,,,,,
12,4,1,1,"00:22:06,306","00:22:28,422",Client,"I had... Two scenarios in my head. In the first one you stand up and you hug me... And you say, I love you. I love you too, Laura. I've been feeling this way for a long time. I just wanted you to be the first one to say it. And then we make love.",neutral,Open question,11,,,,,,,,,,,,,
12,6,1,1,"00:22:37,661","00:22:44,518",Client,It's like the first one but... But without the sex. We just sit here together.,neutral,Open question,21,,,,,,,,,,,,,
13,0,1,1,"00:22:50,582","00:23:00,527",Client,"You know, I'm embarrassed to even talk about it. I mean, you're sitting there like a fucking buddha acting like you have no idea what I'm talking about. It's humiliating.",anger,Open question,0,,,,,,,,,,,,,
13,1,1,1,"00:23:06,143","00:23:22,323",Client,"A year... From the first session. I thought it would go away. I thought it's just an infatuation, that's all. But it's getting worse. You've become the center of my life.",sadness,Interpretation,5,,,,,,,,,,,,,
13,11,1,1,"00:24:10,936","00:24:21,520",Client,You know why I didn't fuck that guy? Not because of Andrew. Not because I didn't wanna cheat on him. I do want to cheat on him... But with you.,depression,Interpretation,20,,,,,,,,,,,,,
14,0,1,1,"00:24:10,936","00:26:27,950",Client,"You know why I didn't fuck that guy? Not because of Andrew. Not because I didn't wanna cheat on him. I do want to cheat on him... But with you. When I was sitting there at the bar by myself, I was thinking what would happen if you were to walk in? You'd walk in. You'd sit next to me at the bar, you'd order a drink. I'd even... I even tried to imagine what you would order... A shot of bourbon maybe, something... expensive, something fancy. Then we'd start talking... What a coincidence it is to meet like this, how awkward it is to meet outside the office. And then, without words, because we... We talk enough when we're here, you motion for me to follow you to the bathroom. And I do. When I went into the stall with that guy... I imagined it was you behind me. That's what made it so exciting. Then that guy started peeing and it woke me up and I realized that it's impossible. I know it, I understand it. I tell myself that every time I walk out of here. I know it, I understand it but I'm not sure that my body understands it. I know it can never happen. I know it. So don't worry. I'm not gonna start showing up here. I'm not gonna start stalking you like Glenn Close in that movie. I'm not gonna... boil your kids' rabbit. I'm not dangerous... At least not to you. God, how can I go back to my life, to the hospital, to Andrew? Not to Andrew, when the only thing that matters to me is you. Our time's up.",depression,Communication Skills,0,,,,,,,,,,,,,
14,1,1,1,"00:26:40,509","00:26:50,360",Client,I feel like I came here in the dark and I'm leaving into a bigger darkness. What am I gonna do now?,depression,Structuring the therapy,39,,,,,,,,,,,,,
14,4,1,1,"00:27:07,988","00:27:08,988",Client,"No, I'm fine.",neutral,Structuring the therapy,45,,,,,,,,,,,,,
15,0,1,2,"00:00:26,633","00:00:28,032",Client,"So, are there any rules?",depression,Structuring the therapy,0,,,,,,,,,,,,,
15,1,1,2,"00:00:28,827","00:00:33,636",Client,Ground rules. Anything I should know before we start?,depression,Structuring the therapy,2,,,,,,,,,,,,,
15,2,1,2,"00:00:38,358","00:00:41,297",Client,"Oh, right, right. I'm a customer.",neutral,Structuring the therapy,5,,,,,,,,,,,,,
15,5,1,2,"00:01:26,153","00:01:27,731",Client,"So, do you recognize me?",depression,Communication Skills,10,,,,,,,,,,,,,
15,7,1,2,"00:01:34,761","00:01:41,046",Client,"Well, I was told you're the best. A man in tune with everything around him so yeah I guess you should.",joy,Self-disclosure,13,,,,,,,,,,,,,
15,9,1,2,"00:01:49,067","00:02:02,852",Client,"I don't know, the best can be established by facts. And figures. You're the best. I did my research. A couple former patients, Someone else who knew you from graduate school. Does that pressure you?",joy,Open question,17,,,,,,,,,,,,,
15,11,1,2,"00:02:06,166","00:02:16,285",Client,"Yes. It's nothing personal. I always go to the best. Dentists, mechanics. You know what they say: Save now, pay later.",joy,Open question,25,,,,,,,,,,,,,
15,13,1,2,"00:02:24,463","00:02:25,862",Client,Do you recognize me?,neutral,Others,31,,,,,,,,,,,,,
15,14,1,2,"00:02:29,734","00:02:31,021",Client,"Okay, let me help you.",neutral,Others,33,,,,,,,,,,,,,
16,0,1,2,"00:02:31,546","00:03:05,828",Client,The madrasa murderer. Does that mean anything to you? Wasn't that long ago. A US Navy aircraft hit a target on the outskirts of Bagdad. Naval intelligence identified the structure as an insurgent safehouse. A bunker. Turns out it's a madrasa. Let me tell you what that is. It's an islamic religion school. Boys like bees in a beehive studying the Koran. Sixteen of them dead. Rings a bell?,depression,Communication Skills,0,,,,,,,,,,,,,
16,1,1,2,"00:03:06,016","00:03:12,697",Client,"So, that's me. I flew that mission. The madrasa murderer.",depression,Communication Skills,14,,,,,,,,,,,,,
17,0,1,2,"00:03:19,797","00:04:06,306",Client,"So, do your surf the net? Well, somehow... Well, it wasn't really somehow. Let's call a spade a spade. A leak, probably another intelligence fuckup. Anyway, I... I was identified as the pilot in that mission. And my photo is placed on fundamentalist websites. And I'm not talking Al Jazeera, I'm talking websites that... asking for my head on a platter. Offering up the heaven and 40 virgins to anyone who will slit my throat from ear to ear. Here. Here I am. Now, it's not a recent photo. It's a photo taken when I was 18, on a high school trip to... Europe... Holland. That city with the miniatures? Ultre... Utrecht.",neutral,Restatement,0,,,,,,,,,,,,,
17,2,1,2,"00:04:12,451","00:04:21,007",Client,So while I'm sitting here talking to you a million fanatics are downloading my portrait and printing it out as a dartboard. Silly motherfuckers.,neutral,Open question,21,,,,,,,,,,,,,
17,3,1,2,"00:04:26,038","00:04:27,578",Client,"Wow, we'll get to that.",neutral,Open question,25,,,,,,,,,,,,,
18,0,1,2,"00:04:29,259","00:05:01,655",Client,"Now, so you're probably thinking... What's it like? He flew his mission, and he flew back. And he saw the bodies of those children on CNN. You're probably trying to figure out, What went through his head? Let me tell you. After that kind of mission, I don't watch CNN. I go to sleep. I'm dead tired. You're probably dying to ask how I can sleep nights.",disgust,Open question,0,,,,,,,,,,,,,
18,1,1,2,"00:05:06,058","00:05:41,503",Client,"I sleep well, thank you very much. Knowing it was mission accomplished. With great precision, let me tell you. See, I followed my orders. Which were hit my target and hit it on time. Time and target. Do you know we have to hit our targets within two seconds of the estimated time? It's surgical. That's one small window, and I have never missed it. If I had... If I had failed that task, I'd be in trouble with my superiors, with my conscience. And with the system. But I hit my target. So I sleep like a baby.",neutral,Open question,12,,,,,,,,,,,,,
19,3,1,2,"00:05:52,686","00:05:54,365",Client,The media puts it at sixteen.,depression,Open question,3,,,,,,,,,,,,,
19,4,1,2,"00:05:55,477","00:06:11,057",Client,"The Navy, doctor. Listen. The Nany says nothing and why should it? It's not the business of body counts, it's about hitting our targets. We don't look back over our shoulder, belive me. We're out there doing thing so you can sit here in peace, talking to people for a living.",depression,Open question,5,,,,,,,,,,,,,
19,5,1,2,"00:06:21,960","00:06:25,399",Client,The following afternoon. I heard it on the internet.,neutral,Open question,12,,,,,,,,,,,,,
19,7,1,2,"00:06:32,992","00:06:40,840",Client,Like what? It's not like there's time in the day to be surfing the net. This was a moment. I got away. There's a lot of stuff to keep me busy.,neutral,Open question,16,,,,,,,,,,,,,
19,8,1,2,"00:06:44,194","00:07:00,811",Client,"Mission review. Aerial photos, videos. Just data, stuff. Preparation versus execution. Every tiny technical aspect of our flight is recorded and analyzed by the man. There's nowhere to hide. And that's the way it should be. It's just stuff and more stuff.",neutral,Open question,21,,,,,,,,,,,,,
20,0,1,2,"00:07:01,409","00:07:45,129",Client,"It's... It's like when my mother died. My father had a year's worth of stuff to deal with. Last will and testament, her office, garden, a lifetime of photo albums. And every time I'd talk to him, I'd ask how he was, expecting... You know, that he'd break down... Finally. It never ends, Alex. It never ends. Your mother left such a mess. 'She didn't know she was gonna die. And that's all he'd say. After less than a year, he met another woman and got married just like that.",disgust,Open question,0,,,,,,,,,,,,,
20,1,1,2,"00:07:48,885","00:07:53,161",Client,I was surprised. A whole life together and not a single tear?,disgust,Interpretation,14,,,,,,,,,,,,,
20,4,1,2,"00:08:02,525","00:08:22,799",Client,"That's very clever of you. But there's no relation whatsoever. My mother's death was the most traumatic event in my life so far. That mission was just another mission for Alex. There is no comparison. Anyway, look, that's over. And i'm back now. I'm back at my home base and now I'm on R&R.",depression,Open question,19,,,,,,,,,,,,,
20,5,1,2,"00:08:26,666","00:08:28,103",Client,Don't try to get ahead of me.,neutral,Open question,27,,,,,,,,,,,,,
21,0,1,2,"00:08:28,882","00:08:38,966",Client,"I'm a runner. I was a hell of a runner in high school and i'm still a pretty good one for an old man. So I run. With my fairy friend, this gay guy who could kick your ass at any sport.",neutral,Open question,0,,,,,,,,,,,,,
21,1,1,2,"00:08:43,164","00:08:44,575",Client,Daniel.,neutral,Restatement,6,,,,,,,,,,,,,
21,2,1,2,"00:08:44,744","00:09:21,266",Client,"We've been running together for a long time, between six and 10 miles... Depending on whether one of us is on his period. Only this time i chalenged him a little. There's no real good running in the middle east. Not for the US military, unless you want a roadside bomb to blow your balls off. So I wanted to do some serious running. I said, let's go for 15. Then after 15 miles, I said, 20. Now he didn't want it, but I said, okay, i'll go on my own. So he followed. I said, You know, only six more and it's a marathon. Let's do it. He wanted to stop. Little bitch.",neutral,Restatement,8,,,,,,,,,,,,,
22,0,1,2,"00:09:22,954","00:10:01,131",Client,"But I wasn't gonna stop. It was tough. We were out of water-- We're on fumes. At 22 miles, I had a heart attack and died. A textbook case... Straight outta med school... Enlargement of the left ventricle. In accordance with the family history on both sides, fatal. According to the EKG and according to statistics, I had a 97.3% chance of dying, or 2.7% chance of living. Anyway, dead.",depression,Restatement,0,,,,,,,,,,,,,
22,1,1,2,"00:10:05,904","00:10:31,075",Client,"In the clinical sense. No pulse, no brain activity. Total clinical death. But here I am. And now i'm gonna disappoint you, doctor. Don't you wanna know why i'm gonna disappoint you? Let me help you out. The light, the tunnel, the whole life-flashing-before-my-eyes, That's what you're interested in, right?",fear,Communication Skills,15,,,,,,,,,,,,,
22,3,1,2,"00:10:36,845","00:10:50,845",Client,"I couldn't give a shit about it either. But that's all everyone wanted to know about. My father, my wife... Everyone. They just wanted to hear about the goddamn tunnel. Just-- Such bullshit.",depression,Interpretation,25,,,,,,,,,,,,,
22,7,1,2,"00:11:09,202","00:11:10,257",Client,Nobody really knows,neutral,Interpretation,34,,,,,,,,,,,,,
23,0,1,2,"00:11:09,202","00:11:16,340",Client,"Nobody really knows what was going through my mind during those last few moments. Soon as there was no more tunnel, no one was interested.",neutral,Open question,0,,,,,,,,,,,,,
23,1,1,2,"00:11:20,381","00:11:39,014",Client,"Oh, I knew what was happening. You can tell. And you're afraid it's the end. In all that time until I lost consciousness... All that time... I don't know how long it was, Maybe seconds, maybe half a minute. All that time, I kept trying to figure out if I had a hard-on.",fear,Open question,4,,,,,,,,,,,,,
24,0,1,2,"00:11:40,110","00:12:20,534",Client,"See, I don't know how I remember this Something my grandmother told me when I was in high school. And she said, when grandpa died, she found him lying naked in the bathtub with a huge erection. Now he was 92 years old. She hadn't seen an erection like that in 20 years. She liked it. She said that was god's final gift to a man... A dead man's boner. They call it angel lust. Anyway, so i'm lying there and i'm thinking about that story. I know what's happening to me and I said to myself, God almighty, just... don't let me have an erection right now, not a hard-O.",neutral,Restatement,0,,,,,,,,,,,,,
24,1,1,2,"00:12:23,869","00:12:25,569",Client,That would mean that I was dead.,fear,Restatement,17,,,,,,,,,,,,,
24,2,1,2,"00:12:30,780","00:12:35,626",Client,"Yeah, resuscitation, CPR... Daniel's a doctor, i forgot to say that.",fear,Restatement,19,,,,,,,,,,,,,
24,5,1,2,"00:12:45,675","00:12:46,821",Client,Excuse me?,joy,Restatement,24,,,,,,,,,,,,,
25,0,1,2,"00:12:48,862","00:12:54,558",Client,Don't you think you're exaggerating? I explained something simple... A dead man's erection. What's that gotta do with daniel?,joy,Interpretation,0,,,,,,,,,,,,,
25,7,1,2,"00:13:20,173","00:13:22,896",Client,So my secret is i'm afraid of homosexuals?,joy,Interpretation,9,,,,,,,,,,,,,
25,9,1,2,"00:13:29,074","00:13:32,419",Client,Okay. That's neither here nor there. I wanna get to my point.,joy,Communication Skills,12,,,,,,,,,,,,,
25,10,1,2,"00:13:32,559","00:13:34,550",Client,I didn't have the erection so you can relax.,joy,Communication Skills,15,,,,,,,,,,,,,
26,0,1,2,"00:13:34,761","00:13:48,104",Client,But I tell you I remember very vividly that moment just before passing out... Before losing consciousness. Losing consciousns... That's a funny expression.,fear,Open question,0,,,,,,,,,,,,,
26,1,1,2,"00:13:50,912","00:14:00,699",Client,Losing consciousness... It's an expression my father would use... Everything in terms of profits and loss. Fits him like a glove.,disgust,Restatement,5,,,,,,,,,,,,,
26,5,1,2,"00:14:10,742","00:14:18,835",Client,"Okay, with all due respect, I think we've come to this way too early. All this stuff about the father son relationship, I don't think it should come up so soon.",anger,Open question,12,,,,,,,,,,,,,
26,6,1,2,"00:14:18,976","00:14:25,219",Client,"No, forget what I feel. I know it's too soon. I wanna know what you think.",anger,Open question,17,,,,,,,,,,,,,
26,8,1,2,"00:14:26,124","00:14:29,345",Client,I'm entitled to some testing. I'm paying for it.,neutral,Self-disclosure,22,,,,,,,,,,,,,
26,14,1,2,"00:14:47,601","00:15:10,608",Client,"What's wrong with that? Look, I did my research. It's a one-and-a-half-Hour drive to get here and i'm paying you good money. And i'm expected to tell you, a perfect stranger, the most intimate things about my life. Plus, there are risks here. It's not like the navy's gonna give me a medal For spilling my guts in here. i'm not gonna open up to you just like that without knowing what you are.",neutral,Open question,30,,,,,,,,,,,,,
26,17,1,2,"00:15:19,242","00:15:23,069",Client,I'll know... According to your opinion.,neutral,Restatement,41,,,,,,,,,,,,,
26,18,1,2,"00:15:24,896","00:15:28,699",Client,Of the issue i came here to talk about. But i'll come to that in a minute.,neutral,Restatement,44,,,,,,,,,,,,,
27,0,1,2,"00:15:30,276","00:15:33,253",Client,It has to do with what happened to me after taking me out of the freezer.,depression,Restatement,0,,,,,,,,,,,,,
27,2,1,2,"00:15:39,140","00:15:52,680",Client,"No, literally frozen. They froze me. The mobile intensive care unit arrived and they put me in a suit that freezes you. They've got one out of presbyterian, which is... no more than 3/4 of a mile from where I collapsed and their e.R. Is tops.",depression,Guiding the Pace and Depth of the Conversation,3,,,,,,,,,,,,,
27,3,1,2,"00:15:54,994","00:16:12,519",Client,"Yeah, we're getting there. You have no patience. I was told you were a good listener. Now look... It works on a very simple principle. It reduces the shock to the body's systems by dropping the body temperature.",anger,Open question,11,,,,,,,,,,,,,
27,4,1,2,"00:16:14,706","00:16:24,458",Client,"In my case, 48 hours. It's a record. There's no history of anyone who's been in that suit for such a long period of time. I guess I went a long way up that tunnel?",joy,Approval,18,,,,,,,,,,,,,
27,5,1,2,"00:16:28,115","00:16:29,758",Client,"No, unfortunately not.",depression,Open question,23,,,,,,,,,,,,,
27,7,1,2,"00:16:37,416","00:16:49,140",Client,Mostly I remember... A terrible fatigue. I guess that's why they call it dead tired. It's physical but mainly mental-- Exhaustion.,neutral,Open question,26,,,,,,,,,,,,,
28,0,1,2,"00:16:50,474","00:16:57,255",Client,And I remember very clearly the relief I felt... when I succeeded in coming back over into the world.,depression,Restatement,0,,,,,,,,,,,,,
28,3,1,2,"00:17:03,087","00:17:06,007",Client,What are you trying to get at?,depression,Interpretation,6,,,,,,,,,,,,,
28,6,1,2,"00:17:16,974","00:17:18,636",Client,"Yeah, I guess you're right",depression,Interpretation,10,,,,,,,,,,,,,
28,9,1,2,"00:17:25,837","00:17:42,539",Client,"Listen, it's not every day people meet someone who's come back from the dead. It's a one-in-a-million thing. And if you don't supply the goods, then... Listen, I have never... spent a day in my life in a hospital. You get it? Never.",neutral,Interpretation,14,,,,,,,,,,,,,
